Frequency,Z_real,Z_imag,Z_linKK_real,Z_linKK_imag,res_real,res_imag,chi_squared,mu,M
199.5261,0.002036305,-6.556669e-06,0.0020432236856731865,-1.1710956442226037e-05,-0.003397649079172952,0.002531183061219549,0.0005240972068355068,0.47047983634852053,17
158.4892,0.002041911,-2.063672e-05,0.0020351440152443527,-2.5393199234432946e-05,0.0033138756697825623,0.002329306386520082,0.0005240972068355068,0.47047983634852053,17
125.8925,0.002040013,-4.296481e-05,0.002035420795576704,-4.173906682797496e-05,0.002250567170502882,-0.0006007174524795509,0.0005240972068355068,0.47047983634852053,17
99.99994,0.002053624,-6.047387e-05,0.002042060634117946,-5.6424173163290755e-05,0.005628272536997873,-0.001971121360484828,0.0005240972068355068,0.47047983634852053,17
79.43277,0.002048339,-6.387052e-05,0.002051086669689032,-6.825861362357767e-05,-0.0013407619012644869,0.002141228537462237,0.0005240972068355068,0.47047983634852053,17
63.09569,0.002066679,-8.400229e-05,0.0020598498320456467,-7.936864488597623e-05,0.003301690152264424,-0.00224022319326732,0.0005240972068355068,0.47047983634852053,17
50.11869,0.002069006,-9.807648e-05,0.00206886200998627,-9.245730935030605e-05,6.951575388929538e-05,-0.0027128331599330833,0.0005240972068355068,0.47047983634852053,17
39.81069,0.002088085,-0.000112802,0.0020803383864222862,-0.00010802581410851927,0.00370451135708912,-0.002284021876276569,0.0005240972068355068,0.47047983634852053,17
31.62275,0.002100063,-0.0001301696,0.0020952823311907874,-0.00012445405839507924,0.002272080210446278,-0.0027163916788164864,0.0005240972068355068,0.47047983634852053,17
25.11885,0.002113776,-0.0001476776,0.0021124589080816305,-0.0001405040542666322,0.0006215839598692434,-0.0033854592083216884,0.0005240972068355068,0.47047983634852053,17
19.95261,0.002133644,-0.0001629681,0.0021302009081009014,-0.00015711180763147413,0.0016090276778046246,-0.002736765902978312,0.0005240972068355068,0.47047983634852053,17
15.84892,0.002142768,-0.0001883306,0.0021486380297594514,-0.00017642977273325922,-0.0027289410953725375,-0.00553262213787737,0.0005240972068355068,0.47047983634852053,17
12.58924,0.002168157,-0.0002048147,0.0021696406608748544,-0.00019949494448545955,-0.0006812629545137119,-0.002442709395758632,0.0005240972068355068,0.47047983634852053,17
9.999991,0.002197955,-0.0002382933,0.0021947051124552924,-0.00022545201762313053,0.0014699821784488185,-0.005808341360354536,0.0005240972068355068,0.47047983634852053,17
7.943275,0.002209708,-0.0002514638,0.002223518166663772,-0.0002532062107626951,-0.006209690494700895,0.0007834685716976775,0.0005240972068355068,0.47047983634852053,17
6.309568,0.002261536,-0.0002849809,0.002255017114724906,-0.00028330391337650555,0.0028598867174197,-0.000735707343730318,0.0005240972068355068,0.47047983634852053,17
5.011868,0.002275751,-0.0003276944,0.002289554908637573,-0.0003175103377414886,-0.006003727719948024,-0.004429349576878376,0.0005240972068355068,0.47047983634852053,17
3.981068,0.002332273,-0.0003566192,0.002329214383251879,-0.00035644143785680077,0.001296364544459661,-7.534273129583221e-05,0.0005240972068355068,0.47047983634852053,17
3.162275,0.002374064,-0.0004022405,0.0023754305418320514,-0.00039823973050774435,-0.0005675245793951175,-0.0016615188573778391,0.0005240972068355068,0.47047983634852053,17
2.511884,0.002417458,-0.0004323846,0.0024264376011061007,-0.00044035575947907806,-0.0036564550070395507,0.0032458219073210025,0.0005240972068355068,0.47047983634852053,17
1.99526,0.002485448,-0.000484923,0.002477578389020773,-0.00048293206938959427,0.0031076787534514722,-0.0007862107509362292,0.0005240972068355068,0.47047983634852053,17
1.584892,0.002530366,-0.000547195,0.0025243762061119743,-0.0005303190511734674,0.0023136838441961847,-0.006518690106096426,0.0005240972068355068,0.47047983634852053,17
1.258924,0.002557758,-0.0005939247,0.0025651864799299483,-0.0005893717492959486,-0.0028290253131652405,-0.0017339230788558128,0.0005240972068355068,0.47047983634852053,17
0.999999,0.002592453,-0.0006641017,0.0026009713146253545,-0.0006667612787347149,-0.00318303386844887,0.0009938033003860551,0.0005240972068355068,0.47047983634852053,17
0.794327,0.002633968,-0.0007736172,0.002633130083834716,-0.0007682383190126967,0.00030522655543334046,-0.0019593574916701014,0.0005240972068355068,0.47047983634852053,17
0.630957,0.002655402,-0.0009075249,0.002662145358672514,-0.0009001776630212536,-0.0024030209820293273,-0.002618215265908009,0.0005240972068355068,0.47047983634852053,17
0.501187,0.002684495,-0.001067824,0.002688318766925442,-0.0010712554087826873,-0.0013235257959633843,0.0011877183230400432,0.0005240972068355068,0.47047983634852053,17
0.398107,0.002708291,-0.001293518,0.00271320282178115,-0.0012924169042182047,-0.0016365441041032572,-0.0003668683209691166,0.0005240972068355068,0.47047983634852053,17
0.316227,0.002733266,-0.001570422,0.0027396385362440634,-0.001575733462074384,-0.0020215540726472364,0.0016849504462504705,0.0005240972068355068,0.47047983634852053,17
0.251188,0.002767693,-0.001932284,0.0027701302717168565,-0.0019342082538692095,-0.0007220525003176361,0.0005700686993161891,0.0005240972068355068,0.47047983634852053,17
0.199526,0.002818332,-0.00238244,0.0028052835148595877,-0.0023836193478086014,0.0035357962949899443,0.00031957223902126194,0.0005240972068355068,0.47047983634852053,17
0.158489,0.002830576,-0.002948856,0.0028438614660116464,-0.0029453197726415684,-0.0032502420184544628,-0.0008651254489008832,0.0005240972068355068,0.47047983634852053,17
0.125892,0.002876787,-0.003645824,0.0028841486766747137,-0.003648295969625259,-0.0015851575931926313,0.0005322783918343195,0.0005240972068355068,0.47047983634852053,17
0.1,0.002934279,-0.004520477,0.0029251164703561205,-0.004530158949016025,0.0017001291106018468,0.0017965086072602111,0.0005240972068355068,0.47047983634852053,17
0.079433,0.0029619,-0.005632187,0.0029665390677957896,-0.005638281453158922,-0.0007290097413762767,0.0009577173511556935,0.0005240972068355068,0.47047983634852053,17
0.063096,0.003015919,-0.007026603,0.0030084920590008387,-0.0070318929467194395,0.0009712867147782397,0.0006918130857719528,0.0005240972068355068,0.47047983634852053,17
0.050119,0.003070941,-0.008790801,0.003051168136870393,-0.00878561816491587,0.002123429369229633,-0.0005565903208544136,0.0005240972068355068,0.47047983634852053,17
0.039811,0.003095391,-0.01100192,0.0030954306943786125,-0.010993737525901765,-3.4731059753451384e-06,-0.000715935119202246,0.0005240972068355068,0.47047983634852053,17
0.031623,0.003136718,-0.01378498,0.003143829565051015,-0.013774809188889438,-0.000503033800659884,-0.0007194283863029605,0.0005240972068355068,0.47047983634852053,17
0.025119,0.003200933,-0.01728216,0.0032014047170283513,-0.017276446552162816,-2.6838560919745167e-05,-0.0003250692865084867,0.0005240972068355068,0.47047983634852053,17
0.019953,0.00326503,-0.02168091,0.0032753344233234544,-0.0216804672762164,-0.00046997695902806707,-2.01922971306128e-05,0.0005240972068355068,0.47047983634852053,17
0.015849,0.003378017,-0.02720053,0.003372451653341303,-0.02721215223029181,0.00020304455903200847,0.0004240222162767146,0.0005240972068355068,0.47047983634852053,17
0.012589,0.003483638,-0.03415279,0.0034947383474664704,-0.03415057660818922,-0.0003233424976542794,-6.447398503034661e-05,0.0005240972068355068,0.47047983634852053,17
0.01,0.003643664,-0.04284964,0.003635666740908635,-0.04284758115484813,0.0001859642678231036,-4.787535665091728e-05,0.0005240972068355068,0.47047983634852053,17
